NUMBER_OF_NODES,TASKS_PER_NODE,THREADS_PER_TASK,SCALE,hash,T_nrns,T_conns_avg,T_sim,VSize_sum,N_nrns,N_conns_sum
1,3,8,0.0625,acd429db3b9ab17b5f5391184e500dc6,1.08,276.1533333333333,22.95,21930984,77169,345513663
2,3,8,0.125,acd429db3b9ab17b5f5391184e500dc6,1.5,282.27333333333337,21.22,44443016,154338,690961118
4,3,8,0.25,acd429db3b9ab17b5f5391184e500dc6,2.45,343.16,28.26,91407432,308676,1382076915
8,3,8,0.5,acd429db3b9ab17b5f5391184e500dc6,4.0,506.74791666666664,25.31,197921848,617352,2764017366
16,3,8,1.0,acd429db3b9ab17b5f5391184e500dc6,7.38,781.3595833333333,38.93,414584568,1234704,5527838034

