NUMBER_OF_NODES,TASKS_PER_NODE,THREADS_PER_TASK,SCALE,hash,T_nrns,T_conns_avg,T_sim,VSize_sum,N_nrns,N_conns_sum
1,24,1,0.0625,acd429db3b9ab17b5f5391184e500dc6,0.39,147.6866666666666,7.34,40128480,77169,345513663
2,24,1,0.125,acd429db3b9ab17b5f5391184e500dc6,0.78,156.17604166666658,9.16,70312296,154338,690961118
4,24,1,0.25,acd429db3b9ab17b5f5391184e500dc6,1.68,192.51906250000005,11.51,156659176,308676,1382076915
8,24,1,0.5,acd429db3b9ab17b5f5391184e500dc6,3.82,279.4178124999999,17.45,314313496,617352,2764017366
16,24,1,1.0,acd429db3b9ab17b5f5391184e500dc6,15.24,457.39057291666694,32.02,710875768,1234704,5527838034

