NUMBER_OF_NODES,TASKS_PER_NODE,NUM_VPS,THREADS_PER_TASK,SCALE,T_network_local,T_network_global_avg,T_create_avg,T_connect_avg,T_sim,VSize_sum,N_nrns,N_conns_sum
1,3,24,8,0.0625,766.4633500576019,53.70785927772522,756.948415517807,9.558791955312094,154.41208338737488,26854488,258258,94756223
2,3,48,8,0.125,788.44100689888,94.29218661785126,772.0050865014395,16.970994035402935,96.30138850212097,64343736,516391,378005043
4,3,96,8,0.25,809.147477388382,177.94309928019842,779.1364538669586,30.562367816766102,199.59967041015625,174597844,1032643,1509968177
8,3,192,8,0.5,816.7737817764282,341.2593243320783,760.1908671855927,57.14146707455317,363.14608216285706,514205756,2065151,6035755838
16,3,384,8,1.0,888.7581703662872,663.3729396909475,782.4028890331587,107.59010017911594,97.95924425125122,1532650104,4130180,24134776576

