NUMBER_OF_NODES,TASKS_PER_NODE,NUM_VPS,THREADS_PER_TASK,SCALE,T_network_local,T_network_global_avg,T_create_avg,T_connect_avg,T_sim,VSize_sum,N_nrns,N_conns_sum
1,6,24,4,0.0625,209.88184642791748,52.39234562714895,201.36668972174326,8.303143660227457,38.333719968795776,29724120,258258,94756223
2,6,48,4,0.125,213.8205406665802,92.82056307792664,200.65178845326105,14.137300531069437,81.52747392654419,70496096,516391,378005043
4,6,96,4,0.25,226.55619263648987,174.01222003499666,202.04500684142113,25.409213314453762,175.78266406059265,185137768,1032643,1509968177
8,6,192,4,0.5,255.97611236572266,335.1403675874074,209.8722811539968,48.192471047242485,361.33919501304626,548592472,2065151,6035755838
16,6,384,4,1.0,310.32820081710815,653.8598943029841,224.62524076302847,90.92553122341633,69.75769281387329,1781781752,4130180,24134776576

