NUMBER_OF_NODES,TASKS_PER_NODE,NUM_VPS,THREADS_PER_TASK,SCALE,T_network_local,T_network_global_avg,T_create_avg,T_connect_avg,T_sim,VSize_sum,N_nrns,N_conns_sum
1,2,24,12,0.0625,1599.2962307929993,53.06610822677612,1588.6823605298996,10.672376155853271,40.57455849647522,25748196,258258,94756223
2,2,48,12,0.125,1608.8298177719116,94.60443431138992,1590.4216017723083,17.81131660938263,94.15029788017273,61441836,516391,378005043
4,2,96,12,0.25,1686.007866859436,176.39086982607841,1653.8834901452065,32.84701979160309,175.67044734954834,167763380,1032643,1509968177
8,2,192,12,0.5,1804.8980798721313,336.2537700533867,1744.0475909262896,61.52117449045181,351.5315272808075,474101912,2065151,6035755838
16,2,384,12,1.0,1759.2062468528748,647.8766981065273,1645.5929815843701,114.6986632719636,110.48175191879272,1486488184,4130180,24134776576

