NUMBER_OF_NODES,TASKS_PER_NODE,THREADS_PER_TASK,SCALE,hash,T_nrns,T_conns_avg,T_sim,VSize_sum,N_nrns,N_conns_sum
1,2,12,0.0625,acd429db3b9ab17b5f5391184e500dc6,0.61,275.895,19.35,21403204,77169,345513663
2,2,12,0.125,acd429db3b9ab17b5f5391184e500dc6,1.09,273.705,25.58,43437476,154338,690961118
4,2,12,0.25,acd429db3b9ab17b5f5391184e500dc6,1.88,341.20750000000004,28.52,91423736,308676,1382076915
8,2,12,0.5,acd429db3b9ab17b5f5391184e500dc6,4.06,482.738125,30.81,186905064,617352,2764017366
16,2,12,1.0,acd429db3b9ab17b5f5391184e500dc6,6.93,765.1759375000001,34.97,410852724,1234704,5527838034

